※ 매월 말일자 통계 현황,,,,,,,
,,2021년05월,,,,,
행정기관코드,행정기관,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1100000000,서울특별시  ,"9,575,355","4,403,381",2.17,"4,654,720","4,920,635",0.95
1111000000,서울특별시 종로구 ,"146,377","73,712",1.99,"71,204","75,173",0.95
1111051500,서울특별시 종로구 청운효자동,"12,042","5,245",2.3,"5,582","6,460",0.86
1111053000,서울특별시 종로구 사직동,"9,367","4,663",2.01,"4,220","5,147",0.82
1111054000,서울특별시 종로구 삼청동,"2,497","1,246",2,"1,192","1,305",0.91
1111055000,서울특별시 종로구 부암동,"9,737","4,292",2.27,"4,658","5,079",0.92
1111056000,서울특별시 종로구 평창동,"18,230","7,486",2.44,"8,502","9,728",0.87
1111057000,서울특별시 종로구 무악동,"8,329","3,069",2.71,"3,887","4,442",0.88
1111058000,서울특별시 종로구 교남동,"10,178","4,463",2.28,"4,700","5,478",0.86
1111060000,서울특별시 종로구 가회동,"4,205","2,030",2.07,"1,945","2,260",0.86
1111061500,서울특별시 종로구 종로1.2.3.4가동,"7,265","5,305",1.37,"4,328","2,937",1.47
1111063000,서울특별시 종로구 종로5.6가동,"5,243","3,455",1.52,"2,813","2,430",1.16
1111064000,서울특별시 종로구 이화동,"7,359","4,301",1.71,"3,485","3,874",0.9
1111065000,서울특별시 종로구 혜화동,"16,570","9,248",1.79,"7,988","8,582",0.93
1111067000,서울특별시 종로구 창신제1동,"4,965","2,840",1.75,"2,669","2,296",1.16
1111068000,서울특별시 종로구 창신제2동,"8,077","4,077",1.98,"4,140","3,937",1.05
1111069000,서울특별시 종로구 창신제3동,"6,704","2,817",2.38,"3,290","3,414",0.96
1111070000,서울특별시 종로구 숭인제1동,"5,993","3,010",1.99,"2,904","3,089",0.94
1111071000,서울특별시 종로구 숭인제2동,"9,616","6,165",1.56,"4,901","4,715",1.04
1114000000,서울특별시 중구 ,"123,133","62,847",1.96,"60,106","63,027",0.95
1114052000,서울특별시 중구 소공동,"2,200","1,259",1.75,"1,065","1,135",0.94
1114054000,서울특별시 중구 회현동,"4,845","2,770",1.75,"2,551","2,294",1.11
1114055000,서울특별시 중구 명동,"2,859","1,504",1.9,"1,238","1,621",0.76
